   lat,    lon,    alt,    v_n,    v_e,    v_d,  gyrox,  gyroy,  gyroz,   accx,   accy,   accz,   magx,   magy,   magz
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01867161, 0.02662094, 0.03962620, 0.34337613,  0.07606220, -9.67985483, 47.41246591, 1.91415074, 3.00270194
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00456478, 0.01219213, -0.01118013, 0.50932917,  0.02434413, -9.65557035, 47.46231829, 0.61936909, 2.75078902
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.02441983, 0.00723322, 0.00254601, 0.70756956,  0.02192073, -9.78960863, 47.44064961, 2.90943815, 1.24179323
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01072745, 0.01100495, -0.01409521, 0.41273596,  0.13784924, -9.61340619, 47.37047500, 3.13106443, 2.61852048
45.41833464, 11.86794640, 172.71500197, 12.93790113, 8.53886044, 1.66958463, -0.00820171, -0.00740138, -0.01764243, 0.46852963,  0.03674114, -9.26956597, 47.47717527, 0.94484713, 2.37638560
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00043376, 0.01980959, 0.01234166, 0.62092327,  0.01940433, -9.39802816, 47.42689083, 2.23276339, 2.51533486
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00909787, 0.00254408, 0.02595806, 0.82608432,  -0.10644907, -9.85648304, 47.46595092, -1.52526281, 2.29764939
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00897589, 0.01920662, 0.01007140, 0.96252330,  -0.14338608, -9.70097772, 47.48799430, 2.26780783, 0.60791504
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00273057, -0.00037220, -0.01518192, 0.75015774,  -0.01202411, -9.86446513, 47.40977201, 1.55553197, 3.24283125
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.02767313, 0.01598467, -0.00393063, 0.43955867,  0.01811405, -10.21931074, 47.40070305, 0.89238830, 3.60542779
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00198190, 0.01756756, -0.03815324, 0.68363053,  -0.19318269, -10.06958794, 47.43358806, -0.73438914, 3.18394602
